step,getPrice,getDividend,ensemble,retornos
0,303.3928408475913,1181.6570139386786,1,Inf
1,-5.562127041007387,1156.2558309816009,1,-1.0183330859932898
2,-66.25558726226846,1150.8587921030512,1,10.911915490924953
3,-69.52794175185464,1145.6991239994002,1,0.04938986468617015
4,86.67283060730907,1145.2326847939762,1,-2.246589909372617
5,159.11800163679456,1152.1425661289709,1,0.8358463721776295
6,196.73082434896045,1159.7553250519059,1,0.23638320193350315
7,123.88239463828403,1158.8181446970625,1,-0.37029494463693263
8,187.7516174220817,1165.7343856780037,1,0.5155633532132242
9,194.17185985878743,1156.763038747291,1,0.03419540414542731
10,186.2396077980284,1159.6082013175005,1,-0.04085170769094863
11,285.5441393470963,1151.3678634933171,1,0.533208444343165
12,171.75529232078298,1149.381741404801,1,-0.3984982752106007
13,234.41251880042554,1150.1972225608115,1,0.36480521579864483
14,257.20511152628484,1159.1938716830969,1,0.09723283057789453
15,247.4583076847592,1147.4648400977471,1,-0.03789506275239622
16,279.9317920822394,1144.3588162989504,1,0.13122810343813
17,219.01046006637065,1147.9998352621124,1,-0.21762920018020332
18,369.54454483840476,1135.0233586310503,1,0.687337420899509
19,308.2174624553285,1141.8668373316216,1,-0.16595315298158042
20,233.01360193631533,1144.9724140172568,1,-0.243996105606485
21,241.65541304485873,1144.0500970922271,1,0.037087153010515204
22,126.8472130609519,1151.634209763079,1,-0.47509053713021887
23,220.30639536388597,1151.88653596788,1,0.7367854606157219
24,249.90471621804667,1154.0162395579434,1,0.1343507109962576
25,176.26558356459338,1154.5135809776775,1,-0.2946688392595269
26,182.1102670100767,1152.2881731407676,1,0.03315839273491251
27,247.82584448775881,1151.481836026435,1,0.3608559723546277
28,258.0233033533297,1158.1650743639862,1,0.041147681294694795
29,352.1778962450293,1156.2224949702231,1,0.3649073229744949
30,309.90088190448523,1153.3985846310802,1,-0.12004448544700724
31,450.56629379881144,1157.7040218525422,1,0.45390452272956355
32,378.659676918411,1152.0397925907903,1,-0.15959164693422112
33,410.4928056906776,1147.5360910564218,1,0.08406791299070808
34,385.84676405381816,1154.1755301838584,1,-0.06004013053381301
35,395.6288445214174,1161.2058874806926,1,0.025352241819591486
36,290.4040845456834,1157.8948792568374,1,-0.2659683727131216
37,385.33648196995483,1155.1122058315707,1,0.3268975970940161
38,470.7313441283186,1159.3768400609947,1,0.22161115324923247
39,545.5325554188731,1156.0740271374332,1,0.15890425021318352
40,505.75409024853775,1158.2943010556496,1,-0.07291675771722278
41,454.41231926028627,1162.148990296032,1,-0.10151528574493802
42,394.9399159893294,1165.613065241919,1,-0.13087762094075453
43,454.76732446496027,1164.3092200451508,1,0.15148483618264433
44,402.51244518431486,1160.3569499530624,1,-0.11490464787047742
45,465.61828023987493,1161.0829897337935,1,0.1567798357803899
46,505.25330893758945,1158.5214138911151,1,0.08512343775956463
47,554.4989983187884,1161.7761218030178,1,0.09746732680434937
48,413.0598295703995,1158.3687338777634,1,-0.2550756073089852
49,463.7430664872738,1160.0384140935234,1,0.12270192666662144
50,510.1527491901968,1151.873210942736,1,0.10007628373716422
51,402.1161839141639,1154.3229418035157,1,-0.21177297475614376
52,312.9128845527207,1157.2755389284077,1,-0.22183464115556373
53,428.1086638466346,1160.830477041105,1,0.36814009579239715
54,454.6632100345237,1168.0769866622109,1,0.06202758418690154
55,585.9398717350355,1173.8711489492382,1,0.28873385574905797
56,565.4387727568369,1166.4169724293197,1,-0.03498840063143758
57,521.8160115597573,1163.0734881521162,1,-0.07714851421382682
58,539.590346091623,1164.370227621688,1,0.034062455229644226
59,546.956228569389,1175.5096460724242,1,0.013650878914196328
60,454.7344797684846,1173.3512231387795,1,-0.16860901107592893
